genre,artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Pop,Taylor Swift,0.00196,0.602,193293,0.735,4.77e-05,0.105,-5.778,0.0337,96.969,0.472,59
Indie,j ember,0.0322,0.485,196023,0.321,0.0923,0.0677,-12.631,0.0314,82.034,0.162,44
Dance,Jennifer Lopez,0.107,0.726,284867,0.779,0.000252,0.098,-5.198,0.0603,129.973,0.556,52
Rap,Rae Sremmurd,0.0443,0.842,267627,0.609,0.0,0.106,-5.867,0.19,129.942,0.184,55
Blues,Elizabeth Cotten,0.976,,205493,0.171,0.000545,0.114,-14.512,0.0353,106.462,0.664,32
Rap,Kanye West,0.0114,0.901,127947,0.522,0.0,0.259,-8.304,0.33,104.053,0.329,87
Pop,Joji,0.895,0.787,128888,0.312,0.0224,0.115,-12.401,0.0383,119.899,0.425,76
Reggaeton,Ivy Queen,0.483,0.76,275240,0.518,0.0,0.117,-5.228,0.0449,134.129,0.246,32
Blues,KONGOS,0.307,0.625,206515,0.732,0.000509,0.143,-7.332,0.0567,147.668,0.931,35
Indie,Crumb,0.259,0.265,279429,0.6,0.739,0.124,-9.28,0.0341,93.796,0.0555,51
Opera,Giacomo Puccini,0.964,0.3,146213,0.0448,0.000442,0.613,-26.876,0.0416,131.764,0.0757,6
Anime,Nightmare,0.00883,0.511,297427,0.928,0.000123,0.121,-3.892,0.0442,100.951,0.368,16
Hip-Hop,Denzel Curry,0.222,0.715,232293,0.57,2.32e-06,0.343,-7.682,0.172,107.766,0.371,60
Jazz,Dr. John,0.636,0.744,206160,0.481,0.00709,0.0912,-16.24,0.0479,113.107,0.968,43
Children’s Music,Ravyn Lenae,0.0339,0.712,196755,0.846,0.000384,0.106,-6.714,0.0538,120.016,0.573,62
Pop,Drake,0.574,0.446,237733,0.239,7.76e-05,0.12,-15.327,0.0876,104.675,0.31,65
Blues,Phish,0.333,0.425,1257333,0.672,0.756,0.701,-11.114,0.0556,105.414,0.228,25
Indie,Hoodie Allen,0.297,0.795,184661,0.41,0.0,0.0742,-7.07,0.109,100.015,0.434,54
Hip-Hop,XXXTENTACION,0.591,0.797,121630,0.293,0.0724,0.148,-7.479,0.08,80.035,0.478,77
Indie,Smallpools,0.00601,0.585,221747,0.801,8.2e-05,0.0865,-5.406,0.0995,101.987,0.283,60
Anime,Aimer,0.00877,0.489,205027,0.889,1.52e-06,0.233,-4.727,0.0636,163.972,0.777,18
Soundtrack,Alan Silvestri,0.569,0.207,134333,0.392,0.865,0.105,-11.39,0.0424,81.208,0.141,24
Jazz,The Ink Spots,0.985,0.571,192840,0.0881,1.09e-06,0.129,-15.875,0.0375,82.898,0.498,36
Opera,Georges Bizet,0.948,0.297,127133,0.101,0.968,0.211,-29.498,0.0479,105.177,0.222,20
Electronic,Alexander Lewis,0.335,0.446,191197,0.772,0.0,0.13,-1.184,0.161,117.845,0.432,45
Electronic,Vök,0.55,0.499,184960,0.295,0.00529,0.108,-10.679,0.0325,136.749,0.138,29
Children's Music,Juice Music,0.69,0.743,81227,0.263,0.0,0.0635,-11.018,0.0591,140.105,0.569,5
Comedy,Kyle Cease,0.684,0.614,362013,0.473,0.0,0.607,-11.186,0.937,81.137,0.517,12
Reggae,The Holdup,0.239,0.777,189615,0.468,0.0,0.143,-7.472,0.176,155.892,0.867,40
Indie,S. Carey,0.867,0.501,254920,0.294,0.0068,0.131,-13.375,0.0302,130.018,0.191,58
Rock,Aaron Watson,0.0883,0.617,222213,0.886,1.35e-05,0.0856,-4.352,0.0425,124.979,0.873,59
R&B,Jaheim,0.0636,0.655,224667,0.553,1.73e-05,0.126,-6.854,0.0891,70.033,0.531,43
World,Passion,0.221,0.323,459467,0.467,0.0,0.115,-7.282,0.0334,139.505,0.0625,56
Anime,Kana Nishino,0.128,0.636,295813,0.752,1.98e-06,0.0916,-5.633,0.0328,124.964,0.516,26
Soul,The Undercover Dream Lovers,0.0512,0.739,220247,0.505,0.62,0.106,-8.064,0.0402,96.999,0.192,38
Children's Music,Kimbo Children's Music,0.0646,0.763,157560,0.618,0.0,0.128,-12.225,0.0341,150.082,0.964,0
Blues,The Originals,0.352,0.34,175560,0.476,0.0,0.169,-11.852,0.0452,115.076,0.546,39
Classical,Trans-Siberian Orchestra,0.12,0.222,250973,0.567,0.00727,0.183,-6.432,0.0349,74.584,0.292,24
Blues,Lynyrd Skynyrd,0.00696,0.244,344747,0.643,0.00925,,-6.497,0.0427,79.045,0.208,41
R&B,HEIZE,0.757,0.603,201659,0.688,0.23,0.0718,-5.13,0.0327,119.99,0.504,58
Reggaeton,Lito y Polaco,0.644,0.72,254613,0.685,0.0,0.503,-6.428,0.365,91.829,0.94,20
Rock,Rainbow Kitten Surprise,0.604,0.758,109227,0.551,0.000663,0.104,-8.879,0.0732,114.892,0.365,51
Alternative,Relient K,0.0166,0.563,199867,0.959,0.0,0.13,-3.036,0.0421,137.942,0.81,46
Comedy,D.L. Hughley,0.798,0.527,213373,0.972,0.0,0.723,-7.123,0.926,83.589,0.109,27
Blues,Graveyard,0.19,0.349,286747,0.683,0.00052,0.0682,-5.5,0.0357,122.68,0.513,35
Alternative,Frank Ocean,0.681,0.673,277521,0.463,4.9e-06,0.0907,-7.247,0.191,147.981,0.268,65
Folk,Sharon Van Etten,0.000236,0.457,274133,0.884,0.182,0.364,-6.002,0.0386,167.058,0.478,57
Country,Levon Helm,0.44,0.636,272573,0.722,0.0,0.136,-6.374,0.0352,124.158,0.93,50
Reggaeton,Wisin & Yandel,0.00647,0.759,226560,0.853,7.27e-06,0.241,-4.883,0.0834,88.955,0.716,60
Reggaeton,Messiah,0.0113,0.759,195192,0.772,4.01e-05,0.094,-4.97,0.126,84.963,0.714,25
Folk,Harrison Storm,0.665,0.644,201196,0.502,0.165,0.124,-9.374,0.0302,103.987,0.159,62
Children's Music,Trout Fishing in America,0.818,0.526,209773,0.165,0.0,0.717,-17.466,0.0705,129.006,0.319,1
Rap,Kodak Black,0.0521,0.861,228760,0.603,0.0,0.0924,-5.788,0.176,98.043,0.504,93
Rap,Breaking Benjamin,1.68e-05,0.289,228213,0.955,3.57e-05,0.152,-2.76,0.0966,163.947,0.252,57
Opera,Giuseppe Verdi,0.983,0.308,169691,0.13,0.000892,0.296,-20.157,0.0886,80.151,0.107,9
R&B,Ne-Yo,0.273,0.699,207187,0.592,0.0,0.202,-8.298,0.262,94.933,0.589,79
Electronic,Virtual Riot,0.00729,0.46,224089,0.955,0.00235,0.343,-3.647,0.329,151.28,0.545,32
Soundtrack,Alexandre Desplat,0.335,0.301,307929,0.101,0.873,0.11,-22.895,0.0375,116.13,0.0556,24
Indie,Goodluck,0.037,0.627,226562,0.64,0.244,0.137,-5.219,0.0356,95.956,0.213,50
Anime,EGOIST,0.192,0.467,290707,0.925,0.101,0.102,-9.226,0.0532,169.952,0.601,14
Hip-Hop,Eminem,0.00144,0.612,282027,0.867,0.0,0.329,-2.924,0.362,179.728,0.371,64
Children’s Music,Alice In Chains,0.116,0.535,300000,0.69,0.000113,0.73,-8.956,0.045,81.871,0.293,52
Dance,Spandau Ballet,0.261,0.711,231480,0.74,0.0114,0.104,-7.776,0.036,143.047,0.638,66
Electronic,Keys N Krates,0.000825,0.449,206675,0.894,0.896,0.0759,-8.014,0.0879,161.012,0.161,35
Hip-Hop,Germ,0.00266,0.741,125143,0.567,0.00034,0.125,-10.143,0.114,139.992,0.493,40
World,The Brilliance,0.858,0.554,211000,0.253,0.531,0.088,-13.88,0.0296,139.859,0.543,29
Soundtrack,Mark Mothersbaugh,0.46,0.28,106773,0.0202,0.0221,0.0676,-26.991,0.041,118.95,0.0398,31
Alternative,The Smashing Pumpkins,5.01e-06,0.401,252200,0.918,0.881,0.365,-8.204,0.0693,108.297,0.379,43
Country,Pistol Annies,0.554,0.383,198640,0.381,3.28e-06,0.0728,-9.126,0.0545,82.169,0.39,53
Ska,Reel Big Fish,0.154,0.6,217720,0.897,1.4e-06,0.706,-5.373,0.106,99.562,0.809,22
Comedy,Christopher Titus,0.847,0.491,320320,0.935,0.0,0.939,-5.911,0.88,87.406,0.409,25
World,Hillsong Worship,0.0239,0.389,474667,0.635,6.99e-06,0.182,-8.806,0.0385,137.065,0.0964,36
World,Roedelius,0.771,0.363,209840,0.485,0.961,0.159,-17.806,0.0513,101.055,0.2,39
Blues,Tinariwen,0.497,0.452,293720,0.862,0.0327,0.134,-6.667,0.317,131.686,0.423,24
Soul,Sophie Meiers,0.662,0.291,162162,0.402,0.0374,0.0846,-13.347,0.0381,73.627,0.0526,50
Reggae,King Tubby,0.0872,0.827,187662,0.287,0.901,0.164,-11.083,0.315,73.651,0.643,33
Soul,Leon Bridges,0.374,0.653,156600,0.693,0.0,0.299,-6.765,0.0691,144.67,0.92,48
Jazz,Miles Davis,0.209,0.567,317920,0.285,0.0474,0.0961,-10.226,0.0523,183.93,0.174,36
Children's Music,Children Songs Company,0.0265,0.63,147653,0.525,0.0,0.152,-10.511,0.363,92.077,0.395,0
Folk,Cloud Control,0.000814,0.568,203244,0.651,0.000112,0.0774,-7.094,0.0394,89.98,0.881,42
Rock,The Doobie Brothers,0.319,0.623,195307,0.91,0.000448,0.081,-8.448,0.0384,145.624,0.745,67
Ska,NOFX,0.000334,0.333,145467,0.979,0.00114,0.0715,-5.667,0.138,104.487,0.191,36
Anime,Roselia,0.00134,0.516,285900,0.948,0.0,0.116,-3.228,0.0604,142.942,0.388,36
Soundtrack,Frederik Wiedmann,0.749,0.185,34227,0.347,0.927,0.171,-13.874,0.0346,104.334,0.038,27
Soundtrack,Dustin O'Halloran,0.981,0.356,133280,0.016,0.951,0.0828,-31.231,0.0485,124.859,0.0641,46
Reggaeton,Luigi 21 Plus,0.111,0.759,208841,0.748,3.14e-06,0.0643,-5.998,0.0872,89.958,0.57,45
Reggae,Jermaine Edwards,0.0441,0.508,284015,0.636,0.0,0.0917,-6.174,0.0345,133.925,0.3,21
Jazz,Rosemary Clooney,0.909,0.657,85220,0.275,0.0,0.226,-11.226,0.0428,127.215,0.667,51
Ska,Madness,0.0084,0.391,177947,0.9,5.54e-05,0.0651,-4.805,0.0933,148.989,0.728,17
R&B,Charlie Wilson,0.322,0.605,239587,0.66,0.000263,0.109,-5.847,0.0315,80.982,0.889,48
Soul,Billie Holiday,0.972,0.504,181440,0.0644,4.36e-06,0.174,-14.754,0.0408,106.994,0.403,56
R&B,Wale,0.0175,0.759,204533,0.912,0.0,0.331,-2.941,0.245,98.936,0.354,51
Pop,Lil Baby,0.00214,0.891,196864,0.525,0.0,0.0887,-7.666,0.214,133.126,0.15,67
Jazz,Dean Martin,0.917,0.211,169227,0.0875,1.87e-05,0.118,-16.903,0.0341,168.535,0.182,41
Alternative,Two Door Cinema Club,0.28,0.731,286093,0.73,0.0,0.088,-6.728,0.0489,123.051,0.397,46
Rap,Young Thug,0.0381,0.901,254947,0.472,0.0,0.11,-8.416,0.194,120.0,0.479,71
Anime,Yumi Matsutoya,0.43,0.578,279193,0.422,2.37e-06,0.0391,-9.746,0.0257,78.46,0.387,26
Country,A Thousand Horses,0.0309,0.536,209580,0.825,0.0,0.11,-4.724,0.0623,99.94,0.779,46
Rock,Devin Dawson,0.238,0.713,239280,0.527,7.49e-06,0.111,-7.512,0.0329,123.006,0.445,63
Reggae,Sticky Fingers,0.174,0.447,307600,0.684,0.0546,0.184,-8.733,0.0436,176.044,0.244,54
Dance,MARINA,0.0804,0.759,256333,0.76,0.0,0.0818,-7.199,0.0322,120.006,0.731,52
Rock,Pearl Jam,0.00746,0.615,234333,0.702,0.00431,0.0608,-9.686,0.0278,96.99,0.734,68
Rock,Jaymes Young,0.665,0.392,210639,0.498,0.000118,0.34,-7.63,0.117,72.048,0.59,68
Rap,Sheck Wes,0.25,0.758,249093,0.729,0.0,0.196,-6.282,0.126,119.999,0.326,54
R&B,Ty Dolla $ign,0.275,0.746,143942,0.573,0.0,0.0982,-6.394,0.155,74.984,0.404,57
Ska,The Living End,0.00678,0.555,247990,0.778,0.00323,0.127,-6.217,0.0303,130.073,0.336,34
Blues,Bigg Robb,0.0144,0.93,264173,0.621,0.0,0.19,-5.424,0.215,95.004,0.927,28
Rock,"Hank Williams, Jr.",0.244,0.614,199667,0.381,4.12e-05,0.0917,-14.628,0.0441,145.056,0.504,59
World,Stars Of The Lid,0.868,0.0623,548133,0.0424,0.91,0.101,-32.372,0.0441,65.74,0.032,25
Children's Music,SteveSongs,0.251,0.675,62160,0.735,0.0,0.159,-6.13,0.0635,106.157,0.463,1
Reggae,The Expendables,0.0886,0.608,224093,0.75,0.00113,0.105,-7.143,0.0378,89.231,0.845,36
Dance,Why Don't We,0.0508,0.707,181958,0.618,0.0,0.102,-7.154,0.142,89.901,0.261,57
Alternative,Limp Bizkit,0.00267,0.458,221000,0.978,2.81e-06,0.119,-2.394,0.189,103.823,0.332,62
Movie,Scatman Crothers,0.541,0.755,160547,0.257,0.0,0.0902,-14.733,0.175,141.559,0.626,16
Blues,Black Pistol Fire,0.0978,0.447,183080,0.791,0.000111,0.058,-4.125,0.044,76.426,0.492,29
Hip-Hop,Tedashii,0.0478,0.776,246887,0.766,0.0,0.0475,-5.556,0.1,97.449,0.845,50
Classical,Aaron Copland,0.978,0.186,183267,0.124,0.865,0.111,-15.271,0.0434,77.903,0.248,49
R&B,Megan Thee Stallion,0.0468,0.876,136622,0.543,0.0,0.119,-8.659,0.323,140.0,0.44,45
World,Vertical Worship,0.00216,0.44,352933,0.638,0.0,0.387,-6.886,0.0382,108.008,0.0846,38
Folk,The Wood Brothers,0.135,0.483,274480,0.453,0.00262,0.497,-10.356,0.0404,99.166,0.198,41
Soundtrack,Rupert Gregson-Williams,0.614,0.153,482453,0.258,0.911,0.0808,-15.13,0.0408,102.403,0.0379,36
Soundtrack,John Williams,0.952,0.0931,223093,0.0719,0.888,0.0907,-20.257,0.0414,77.551,0.0384,33
Comedy,Tom Segura,0.808,0.483,150624,0.615,0.0,0.521,-14.303,0.954,165.449,0.284,40
Comedy,Bill Engvall,0.802,0.618,132973,0.733,0.0,0.806,-10.262,0.938,134.678,0.303,28
Country,Thomas Rhett,0.365,0.728,226627,0.484,7.78e-05,0.126,-6.997,0.0282,131.984,0.717,50
Hip-Hop,Jason Derulo,0.00906,0.775,207719,0.68,0.0,0.109,-5.508,0.0629,114.025,0.656,76
Rap,Drake,0.00296,0.881,231231,0.546,4.72e-06,0.226,-7.566,0.12,140.032,0.276,63
Opera,Giuseppe Verdi,0.98,0.452,64800,0.235,0.00932,0.339,-20.556,0.0526,91.677,0.445,15
World,Chris Tomlin,0.0105,0.441,249160,0.745,0.0,0.199,-4.279,0.0315,76.994,0.298,47
Folk,Zager & Evans,0.145,0.451,199653,0.62,0.0239,0.0677,-5.609,0.0361,123.487,0.5,49
Pop,Robyn,0.0746,0.546,229227,0.643,0.0,0.213,-4.069,0.0437,181.838,0.706,63
Indie,Declan J Donovan,0.581,0.597,201251,0.425,0.0,0.1,-5.513,0.0295,119.998,0.309,65
Soul,Simply Red,0.506,0.666,298573,0.884,0.00612,0.0408,-5.243,0.0429,92.005,0.754,56
Ska,King Apparatus,0.191,0.638,154987,0.987,0.0,0.372,-7.467,0.0569,160.125,0.963,16
Reggae,Vicente Garcia,0.811,0.863,227013,0.7,0.327,0.176,-5.04,0.0408,122.945,0.923,52
World,The Brilliance,0.955,0.545,264080,0.192,0.833,0.102,-13.878,0.0253,92.047,0.175,34
Rap,Gunna,0.0942,0.916,151539,0.756,0.0,0.23,-7.653,0.188,115.69,0.756,75
Rock,Foster The People,0.173,0.68,190720,0.738,0.00036,0.37,-4.881,0.0331,105.015,0.675,66
Blues,Death From Above 1979,5.97e-05,0.421,110213,0.98,0.641,0.319,-4.588,0.0706,109.988,0.304,28
Soundtrack,Martin Phipps,0.947,0.16,181706,0.0922,0.921,0.1,-21.167,0.0494,62.858,0.0499,33
Indie,Death Cab for Cutie,0.0034,0.279,315387,0.772,0.0079,0.137,-8.083,0.0559,129.681,0.102,47
Country,Brothers Osborne,0.00389,0.417,384013,0.685,0.00855,0.103,-6.805,0.0584,98.718,0.224,57
Soul,Barry White,0.0291,0.626,219440,0.873,0.0855,0.0857,-9.462,0.0289,114.209,0.896,50
Folk,Judah & the Lion,0.0694,0.454,195863,0.924,0.0,0.125,-4.38,0.0604,150.967,0.505,66
Children's Music,Kimbo Children's Music,0.77,0.708,141440,0.296,0.0454,0.043,-13.492,0.0595,124.706,0.889,0
Comedy,Brian Posehn,0.884,0.563,250787,0.841,0.0,0.816,-5.881,0.945,73.453,0.382,17
Pop,Lucy Dacus,0.312,0.48,391829,0.31,1.47e-05,0.113,-7.887,0.0258,86.149,0.16,62
Rock,Bring Me The Horizon,0.00119,0.589,240587,0.914,0.000257,0.361,-3.582,0.0935,129.935,0.512,71
Indie,Sufjan Stevens,0.909,0.686,353947,0.172,0.00154,0.286,-14.979,0.0409,133.899,0.563,61
Jazz,Thelonious Monk,0.893,0.617,412173,0.275,0.752,0.0803,-12.191,0.056,73.62,0.156,30
Alternative,Yuna,0.0223,0.623,269893,0.761,0.000246,0.39,-6.084,0.0312,99.055,0.456,54
World,Prem Joshua,0.096,0.813,364853,0.578,0.541,0.116,-9.504,0.0341,119.826,0.13,32
Hip-Hop,DaBaby,0.0608,0.876,163320,0.662,0.0,0.127,-6.482,0.426,75.445,0.844,64
Dance,James Arthur,0.141,0.376,209440,0.696,0.0,0.11,-4.785,0.0949,169.515,0.303,76
Reggaeton,Don Omar,0.127,0.73,233999,0.648,0.0,0.232,-4.378,0.129,87.013,0.447,45
Classical,Edward Elgar,0.9,0.286,374933,0.322,0.938,0.142,-15.143,0.0433,121.489,0.259,37
Children’s Music,Wallows,0.000848,0.376,230482,0.937,0.0,0.14,-2.653,0.0757,154.014,0.488,56
Anime,Vickeblanka,0.00727,0.585,214973,0.862,4.74e-05,0.142,-5.153,0.0368,130.047,0.314,32
Reggaeton,Guaco,0.0517,0.618,276681,0.891,0.0,0.116,-8.582,0.0554,95.05,0.627,25
Reggae,Michael Franti & Spearhead,0.0417,0.607,211811,0.663,0.0,0.125,-7.4,0.178,165.866,0.74,36
R&B,Chris Brown,0.283,0.592,248693,0.415,0.0,0.0883,-10.019,0.13,126.475,0.339,51
Electronic,Seven Lions,0.0987,0.443,210884,0.727,9.35e-06,0.118,-5.171,0.0984,74.827,0.424,57
Movie,Riders In The Sky,0.828,0.688,130493,0.257,0.0,0.256,-12.558,0.852,100.278,0.608,1
Classical,Frédéric Chopin,0.936,0.204,248320,0.13,0.787,0.0787,-17.823,0.0473,143.43,0.084,28
Opera,Gaetano Donizetti,0.973,0.216,302840,0.0876,6.08e-05,0.0606,-22.311,0.053,170.181,0.0377,7
Movie,Emmylou Homs,0.688,0.517,75827,0.302,4.86e-05,0.239,-7.937,0.0301,63.308,0.323,17
Electronic,Dirt Monkey,0.00411,0.701,347200,0.668,0.714,0.6,-6.398,0.0554,149.947,0.404,26
R&B,Emily King,0.828,0.337,227867,0.224,1.42e-06,0.102,-10.972,0.0325,83.96,0.192,40
Reggaeton,Myke Towers,0.0186,0.815,250780,0.514,9.68e-05,0.0513,-6.487,0.0573,113.952,0.14,35
Indie,Ray LaMontagne,0.342,0.321,241547,0.425,0.000262,0.23,-12.73,0.0455,173.24,0.493,58
Dance,Betty Who,0.0465,0.686,189683,0.651,0.0,0.0862,-5.597,0.264,175.998,0.364,51
